target_id,account_id,campaign_id,first_target_at,month,recommended_channel,priority,borrower_id,dpd,risk_segment,loan_type,outstanding_amount,timezone,campaign_name,channel,strategy_version,dpd_band,targeting_events,cohort_recovered_amount,cohort_payment_count,recovered_amount,payment_count,recovered
TGT0011660,ACC0000002,CMP0000060,2026-01-12,2026-01,SMS,1,BRW0009382,5,LOW,BNPL,464893.44,UTC,30DPD_W1,SMS,v3,0-30,1,0.0,0.0,0.0,0.0,False
TGT0032490,ACC0000013,CMP0000078,2026-01-12,2026-01,SMS,7,BRW0011628,1,MEDIUM,BNPL,563492.59,Asia/Dubai,60DPD_INTENT,SMS,v2,0-30,1,0.0,0.0,0.0,0.0,False
TGT0023330,ACC0000015,CMP0000112,2026-01-27,2026-01,VOICE,10,,180,NPA,CREDIT_CARD,571588.51,Asia/Kolkata,60DPD_INTENT,MIXED,v3,91+,1,0.0,0.0,0.0,0.0,False
TGT0016671,ACC0000020,CMP0000120,2026-01-05,2026-01,SMS,5,BRW0009853,45,NPA,PERSONAL,45094.95,Asia/Kolkata,NPA_RECOVERY,SMS,v3,31-60,1,0.0,0.0,0.0,0.0,False
TGT0024250,ACC0000022,CMP0000086,2026-01-03,2026-01,SMS,8,BRW0008984,75,HIGH,CREDIT_CARD,164021.52,Asia/Dubai,DIGITAL_FOLLOWUP,SMS,v3,61-90,1,0.0,0.0,0.0,0.0,False
TGT0034228,ACC0000036,CMP0000014,2026-01-28,2026-01,FIELD,4,BRW0008512,30,NPA,CREDIT_CARD,43455.51,Asia/Kolkata,NPA_RECOVERY,SMS,v1,0-30,1,0.0,0.0,0.0,0.0,False
TGT0044600,ACC0000041,CMP0000035,2026-01-17,2026-01,FIELD,5,BRW0009805,0,MEDIUM,PERSONAL,434086.27,Asia/Kolkata,30DPD_W1,MIXED,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0012609,ACC0000042,CMP0000029,2026-01-26,2026-01,VOICE,3,BRW0002352,75,HIGH,CREDIT_CARD,398194.73,Asia/Dubai,60DPD_INTENT,MIXED,v1,61-90,1,0.0,0.0,0.0,0.0,False
TGT0042734,ACC0000044,CMP0000067,2026-01-24,2026-01,WHATSAPP,3,BRW0009131,90,LOW,AUTO,93976.57,UTC,30DPD_W1,MIXED,v2,61-90,1,0.0,0.0,0.0,0.0,False
TGT0043191,ACC0000046,CMP0000058,2026-01-18,2026-01,SMS,3,BRW0001750,30,LOW,CONSUMER,487057.57,Asia/Kolkata,BOUNCE,VOICE,legacy,0-30,1,45021.98,1.0,45021.98,1.0,True
TGT0015498,ACC0000051,CMP0000011,2026-01-24,2026-01,WHATSAPP,2,BRW0009029,60,NPA,AUTO,580808.7,UTC,NPA_RECOVERY,WHATSAPP,v3,31-60,1,0.0,0.0,0.0,0.0,False
TGT0009722,ACC0000054,CMP0000089,2026-01-24,2026-01,SMS,7,BRW0007506,15,MEDIUM,PERSONAL,647780.81,UTC,DIGITAL_FOLLOWUP,WHATSAPP,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0011869,ACC0000068,CMP0000025,2026-01-12,2026-01,SMS,9,BRW0011116,0,LOW,CONSUMER,646783.15,Asia/Dubai,30DPD_W1,FIELD,legacy,0-30,1,0.0,0.0,0.0,0.0,False
TGT0010256,ACC0000070,CMP0000075,2026-01-08,2026-01,WHATSAPP,8,BRW0001504,5,LOW,BNPL,516746.28,Asia/Dubai,30DPD_W1,WHATSAPP,v3,0-30,1,0.0,0.0,0.0,0.0,False
TGT0033205,ACC0000087,CMP0000046,2026-01-12,2026-01,WHATSAPP,2,BRW0003223,90,MEDIUM,CONSUMER,419043.04,Asia/Kolkata,BOUNCE,WHATSAPP,v3,61-90,1,0.0,0.0,0.0,0.0,False
TGT0016246,ACC0000094,CMP0000048,2026-01-18,2026-01,FIELD,7,BRW0004414,60,HIGH,CREDIT_CARD,639876.61,UTC,NPA_RECOVERY,WHATSAPP,v2,31-60,1,0.0,0.0,0.0,0.0,False
TGT0012422,ACC0000097,CMP0000014,2026-01-17,2026-01,SMS,8,BRW0007710,1,NPA,CONSUMER,687977.06,Asia/Dubai,NPA_RECOVERY,SMS,v1,0-30,1,0.0,0.0,0.0,0.0,False
TGT0044596,ACC0000101,CMP0000059,2026-01-16,2026-01,WHATSAPP,3,BRW0009941,15,LOW,BNPL,388304.18,Asia/Dubai,30DPD_W1,MIXED,legacy,0-30,1,0.0,0.0,0.0,0.0,False
