agent_id,employee_code,team,vendor_id,joined_at,canonical_agent_id
AGT0000001,EMP00598,T1,VND0000015,2024-07-13 03:36:58,AGT0000001
AGT0000002,EMP00804,FIELD,VND0000010,2024-05-26 15:08:46,AGT0000455
AGT0000003,EMP00893,T3,VND0000009,2024-06-16 03:02:55,AGT0000163
AGT0000004,EMP00636,T1,VND0000008,2025-02-21 00:55:25,AGT0000094
AGT0000005,EMP00683,T2,VND0000002,2025-06-15 19:31:08,AGT0000005
AGT0000006,EMP00248,T1,VND0000010,2024-11-26 08:48:30,AGT0000050
AGT0000007,EMP00045,DIGITAL,VND0000005,2025-02-16 23:50:05,AGT0000072
AGT0000008,EMP01010,FIELD,VND0000015,2025-05-24 11:21:09,AGT0000734
AGT0000009,EMP00357,T2,VND0000011,2025-09-21 21:39:28,AGT0000762
AGT0000010,EMP00024,DIGITAL,VND0000008,2025-10-14 16:14:35,AGT0000010
AGT0000011,EMP00083,T2,VND0000001,2024-03-20 05:34:13,AGT0000011
AGT0000012,EMP00674,T3,VND0000004,2025-01-31 18:04:40,AGT0000012
AGT0000013,EMP01091,T2,VND0000013,2025-06-20 07:03:25,AGT0000860
AGT0000014,EMP00866,T1,VND0000003,2025-04-21 09:36:42,AGT0000014
AGT0000015,EMP01039,FIELD,VND0000011,2025-04-25 00:26:47,AGT0000015
AGT0000016,EMP00657,T1,VND0000015,2024-12-25 12:22:35,AGT0000016
AGT0000017,EMP00189,T2,VND0000004,2024-07-27 19:28:11,AGT0000582
AGT0000018,EMP00355,T3,VND0000005,2024-12-25 08:23:37,AGT0000018
AGT0000019,EMP00947,FIELD,VND0000011,2025-09-24 19:56:18,AGT0000902
AGT0000020,EMP00342,DIGITAL,VND0000010,2024-04-22 16:43:35,AGT0000020
AGT0000021,EMP00320,DIGITAL,VND0000003,2025-02-02 18:30:15,AGT0000021
AGT0000022,EMP00114,T1,VND0000009,2024-03-07 03:37:47,AGT0000022
AGT0000023,EMP00790,FIELD,VND0000003,2025-01-10 16:22:58,AGT0000023
AGT0000024,EMP00243,FIELD,VND0000008,2025-09-04 22:02:23,AGT0000024
AGT0000025,EMP00916,T3,VND0000012,2025-05-07 22:52:56,AGT0000025
AGT0000026,EMP00123,T1,VND0000001,2024-09-08 19:05:58,AGT0000026
AGT0000027,EMP00710,T1,VND0000015,2024-06-11 19:30:09,AGT0000713
AGT0000028,EMP01021,FIELD,VND0000013,2024-10-19 21:00:17,AGT0000742
AGT0000029,EMP01014,T2,VND0000010,2025-08-07 09:22:38,AGT0000029
AGT0000030,EMP00072,T2,VND0000010,2025-10-24 01:19:48,AGT0000030
AGT0000031,EMP00555,DIGITAL,VND0000008,2025-09-09 18:58:13,AGT0000031
AGT0000032,EMP00723,FIELD,VND0000007,2024-07-02 01:29:34,AGT0000609
AGT0000033,EMP00591,T2,VND0000005,2024-04-19 19:55:36,AGT0000033
AGT0000034,EMP01069,FIELD,VND0000003,2025-05-21 22:03:06,AGT0000034
AGT0000035,EMP00160,FIELD,VND0000013,2024-01-17 14:26:34,AGT0000035
AGT0000036,EMP00958,T3,VND0000003,2024-07-13 09:59:15,AGT0000199
AGT0000037,EMP00468,DIGITAL,VND0000001,2025-09-09 05:04:54,AGT0000512
AGT0000038,EMP00888,FIELD,VND0000001,2025-10-21 11:46:29,AGT0000038
AGT0000039,EMP00227,T3,VND0000012,2025-06-12 12:13:02,AGT0000997
AGT0000040,EMP00220,DIGITAL,VND0000015,2025-04-29 06:52:20,AGT0000040
AGT0000041,EMP00565,T1,VND0000015,2024-08-20 09:13:53,AGT0000041
AGT0000042,EMP00103,T1,VND0000011,2024-12-31 06:51:48,AGT0000042
AGT0000043,EMP00715,DIGITAL,VND0000007,2024-09-16 19:51:41,AGT0000043
AGT0000044,EMP00340,T1,VND0000012,2024-10-30 20:45:48,AGT0000044
AGT0000045,EMP00830,T3,VND0000011,2024-09-01 16:26:16,AGT0000045
AGT0000046,EMP00185,T3,VND0000011,2024-04-16 09:23:11,AGT0000046
AGT0000047,EMP00255,T2,VND0000010,2025-02-10 01:15:46,AGT0000047
AGT0000048,EMP00876,T1,VND0000005,2025-06-01 05:51:13,AGT0000048
AGT0000049,EMP00168,FIELD,VND0000008,2024-02-11 18:24:19,AGT0000049
AGT0000050,EMP00248,FIELD,VND0000014,2024-03-12 05:20:21,AGT0000050
AGT0000051,EMP01086,T3,VND0000014,2024-07-22 01:56:47,AGT0000051
AGT0000052,EMP01025,FIELD,VND0000014,2025-09-07 14:10:08,AGT0000766
AGT0000053,EMP00522,T3,VND0000003,2025-02-22 07:29:22,AGT0000739
AGT0000054,EMP00931,T1,VND0000006,2024-03-21 10:43:50,AGT0000054
AGT0000055,EMP00447,T3,VND0000003,2025-08-05 07:57:56,AGT0000055
AGT0000056,EMP01083,DIGITAL,VND0000014,2024-08-21 12:38:55,AGT0000056
AGT0000057,EMP00636,T1,VND0000007,2024-08-02 03:44:22,AGT0000094
AGT0000058,EMP00770,T2,VND0000014,2024-10-18 21:20:40,AGT0000058
AGT0000059,EMP00912,DIGITAL,VND0000002,2024-09-10 02:22:00,AGT0000059
AGT0000060,EMP00419,T2,VND0000010,2024-05-22 15:48:59,AGT0000060
AGT0000061,EMP00296,T2,VND0000005,2024-12-29 19:38:24,AGT0000758
AGT0000062,EMP01099,FIELD,VND0000003,2025-06-26 09:51:53,AGT0000278
AGT0000063,EMP00222,T2,VND0000002,2025-02-20 20:17:48,AGT0000768
AGT0000064,EMP00644,T2,VND0000014,2024-10-05 21:59:27,AGT0000064
AGT0000065,EMP01086,T1,VND0000007,2025-11-26 07:23:56,AGT0000051
AGT0000066,EMP00919,T1,VND0000002,2024-04-30 05:27:44,AGT0000066
AGT0000067,EMP00787,T1,VND0000005,2024-08-20 20:00:52,AGT0000085
AGT0000068,EMP00457,T1,VND0000010,2025-07-02 05:59:48,AGT0000983
AGT0000069,EMP00664,T2,VND0000010,2024-11-10 20:08:21,AGT0000084
AGT0000070,EMP00632,T3,VND0000001,2025-03-07 13:46:06,AGT0000417
AGT0000071,EMP00324,DIGITAL,VND0000012,2024-07-06 17:37:15,AGT0000071
AGT0000072,EMP00045,T1,VND0000004,2024-02-19 01:42:36,AGT0000072
AGT0000073,EMP01045,T3,VND0000010,2024-04-09 16:24:33,AGT0000073
AGT0000074,EMP00911,FIELD,VND0000008,2024-08-29 00:26:50,AGT0000074
AGT0000075,EMP00770,FIELD,VND0000011,2025-05-16 16:32:56,AGT0000058
AGT0000076,EMP00459,T2,VND0000010,2025-07-10 14:04:10,AGT0000194
AGT0000077,EMP00050,FIELD,VND0000012,2024-08-04 07:14:07,AGT0000652
AGT0000078,EMP00345,FIELD,VND0000002,2024-07-26 18:47:57,AGT0000078
AGT0000079,EMP00659,DIGITAL,VND0000014,2024-09-09 11:05:34,AGT0000079
AGT0000080,EMP00224,T2,VND0000013,2025-04-04 04:37:56,AGT0000518
AGT0000081,EMP00391,T1,VND0000006,2024-07-04 07:27:00,AGT0000081
AGT0000082,EMP00157,T2,VND0000005,2024-11-21 11:24:40,AGT0000082
AGT0000083,EMP00586,T2,VND0000015,2024-10-06 15:52:31,AGT0000083
AGT0000084,EMP00664,T1,VND0000005,2024-01-17 22:23:17,AGT0000084
AGT0000085,EMP00787,FIELD,VND0000003,2024-02-23 19:34:51,AGT0000085
AGT0000086,EMP00099,FIELD,VND0000009,2024-05-26 04:17:19,AGT0000086
AGT0000087,EMP01036,FIELD,VND0000005,2025-08-31 21:24:46,AGT0000513
AGT0000088,EMP00189,T1,VND0000002,2024-07-12 06:59:38,AGT0000582
AGT0000089,EMP00980,T3,VND0000001,2024-04-24 23:35:53,AGT0000445
AGT0000090,EMP00075,DIGITAL,VND0000011,2024-10-15 11:49:49,AGT0000090
AGT0000091,EMP01075,T1,VND0000010,2024-05-08 02:26:47,AGT0000091
AGT0000092,EMP00602,T2,VND0000006,2024-07-25 08:29:01,AGT0000092
AGT0000093,EMP01092,T2,VND0000008,2024-06-10 22:26:22,AGT0000093
AGT0000094,EMP00636,T1,VND0000006,2024-02-01 23:24:18,AGT0000094
AGT0000095,EMP00637,T2,VND0000012,2024-06-22 00:40:21,AGT0000095
AGT0000096,EMP00907,T2,VND0000013,2025-06-09 04:39:25,AGT0000096
AGT0000097,EMP00672,T3,VND0000005,2024-11-15 10:37:08,AGT0000097
AGT0000098,EMP00970,T3,VND0000013,2025-07-28 19:38:44,AGT0000237
AGT0000099,EMP00218,T3,VND0000006,2025-04-08 05:26:28,AGT0000099
AGT0000100,EMP00333,T2,VND0000007,2024-06-16 15:25:55,AGT0000100
AGT0000101,EMP00863,DIGITAL,VND0000015,2025-02-25 21:27:53,AGT0000101
AGT0000102,EMP00982,DIGITAL,VND0000008,2025-01-01 09:08:12,AGT0000736
AGT0000103,EMP00917,T2,VND0000013,2025-11-18 01:22:27,AGT0000180
AGT0000104,EMP00327,FIELD,VND0000005,2024-07-08 00:18:30,AGT0000104
AGT0000105,EMP00186,T1,VND0000006,2025-07-04 06:06:53,AGT0000105
AGT0000106,EMP00549,T2,VND0000001,2024-02-04 19:11:51,AGT0000106
AGT0000107,EMP00838,DIGITAL,VND0000013,2024-04-02 19:36:46,AGT0000107
AGT0000108,EMP00525,DIGITAL,VND0000010,2025-06-04 08:20:40,AGT0000969
AGT0000109,EMP00977,FIELD,VND0000003,2024-10-25 08:12:54,AGT0000109
AGT0000110,EMP00041,DIGITAL,VND0000002,2024-11-18 20:12:44,AGT0000205
AGT0000111,EMP00354,FIELD,VND0000001,2024-11-23 01:24:59,AGT0000111
AGT0000112,EMP00890,T2,VND0000006,2024-10-02 06:01:23,AGT0000664
AGT0000113,EMP01022,DIGITAL,VND0000004,2025-11-08 19:54:47,AGT0000964
AGT0000114,EMP00770,T2,VND0000006,2025-07-26 06:47:46,AGT0000058
AGT0000115,EMP00134,T1,VND0000009,2024-10-27 23:30:53,AGT0000115
AGT0000116,EMP01070,T1,VND0000003,2025-08-24 17:57:10,AGT0000733
AGT0000117,EMP00625,T3,VND0000011,2025-07-07 02:36:31,AGT0000117
AGT0000118,EMP01068,T2,VND0000002,2024-06-08 11:27:12,AGT0000118
AGT0000119,EMP00536,DIGITAL,VND0000005,2024-03-09 15:25:25,AGT0000119
AGT0000120,EMP00032,T2,VND0000005,2025-01-08 16:16:45,AGT0000120
AGT0000121,EMP00334,T2,VND0000003,2025-06-15 02:06:23,AGT0000121
AGT0000122,EMP00289,T2,VND0000004,2025-08-05 19:47:50,AGT0000122
AGT0000123,EMP00391,T1,VND0000004,2024-08-21 20:48:54,AGT0000081
AGT0000124,EMP00410,T3,VND0000003,2025-11-29 03:27:56,AGT0000911
AGT0000125,EMP00412,FIELD,VND0000012,2025-05-16 10:54:28,AGT0000380
AGT0000126,EMP00425,T1,VND0000009,2024-05-14 14:06:47,AGT0000126
AGT0000127,EMP00269,FIELD,VND0000001,2024-11-26 04:13:17,AGT0000864
AGT0000128,EMP00975,FIELD,VND0000015,2025-06-19 14:07:01,AGT0000158
AGT0000129,EMP00533,T1,VND0000006,2024-08-08 17:14:52,AGT0000129
AGT0000130,EMP00155,T2,VND0000010,2024-07-23 06:28:18,AGT0000130
AGT0000131,EMP00844,DIGITAL,VND0000004,2025-05-13 23:43:11,AGT0000857
AGT0000132,EMP00563,DIGITAL,VND0000005,2024-08-03 01:17:25,AGT0000132
AGT0000133,EMP00811,FIELD,VND0000012,2024-05-31 16:10:41,AGT0000133
AGT0000134,EMP00634,T2,VND0000014,2024-11-01 08:32:28,AGT0000134
AGT0000135,EMP00391,T3,VND0000012,2025-03-28 06:14:47,AGT0000081
AGT0000136,EMP00074,T2,VND0000011,2024-08-08 14:15:43,AGT0000270
AGT0000137,EMP00311,T3,VND0000012,2025-11-20 14:20:07,AGT0000137
AGT0000138,EMP00651,T1,VND0000005,2025-05-25 16:36:30,AGT0000285
AGT0000139,EMP00162,T3,VND0000004,2024-04-08 04:13:58,AGT0000139
AGT0000140,EMP00818,DIGITAL,VND0000002,2025-01-24 12:45:16,AGT0000495
AGT0000141,EMP00383,T1,VND0000007,2025-02-01 04:09:26,AGT0000761
AGT0000142,EMP01089,T3,VND0000010,2024-02-28 17:48:53,AGT0000142
AGT0000143,EMP00213,FIELD,VND0000009,2025-08-18 18:57:24,AGT0000522
AGT0000144,EMP00541,FIELD,VND0000002,2025-10-09 05:43:14,AGT0000803
AGT0000145,EMP00247,T2,VND0000001,2024-08-15 17:25:12,AGT0000145
AGT0000146,EMP00398,DIGITAL,VND0000003,2024-12-05 13:28:40,AGT0000146
AGT0000147,EMP00291,FIELD,VND0000009,2024-12-06 19:32:41,AGT0000147
AGT0000148,EMP00614,T3,VND0000005,2024-01-07 04:45:58,AGT0000148
AGT0000149,EMP00636,T1,VND0000008,2025-11-09 23:48:23,AGT0000094
AGT0000150,EMP00728,FIELD,VND0000008,2025-06-15 21:20:01,AGT0000150
AGT0000151,EMP00190,FIELD,VND0000001,2025-01-31 21:11:10,AGT0000698
AGT0000152,EMP00571,T1,VND0000004,2025-02-19 03:48:31,AGT0000152
AGT0000153,EMP01033,DIGITAL,VND0000009,2025-06-05 23:25:38,AGT0000153
AGT0000154,EMP00343,T1,VND0000011,2024-06-16 00:33:24,AGT0000154
AGT0000155,EMP00636,DIGITAL,VND0000007,2024-12-07 13:58:39,AGT0000094
AGT0000156,EMP00180,FIELD,VND0000015,2024-12-10 14:59:01,AGT0000156
AGT0000157,EMP00168,FIELD,VND0000006,2024-12-22 00:24:12,AGT0000049
AGT0000158,EMP00975,T1,VND0000010,2024-04-01 06:16:54,AGT0000158
AGT0000159,EMP00480,DIGITAL,VND0000014,2025-09-02 11:41:31,AGT0000159
AGT0000160,EMP00513,T2,VND0000002,2025-10-26 05:43:22,AGT0000160
AGT0000161,EMP00001,DIGITAL,VND0000004,2025-07-07 17:13:33,AGT0000898
AGT0000162,EMP00519,DIGITAL,VND0000014,2024-08-13 11:47:02,AGT0000162
AGT0000163,EMP00893,FIELD,VND0000012,2024-03-07 06:19:38,AGT0000163
AGT0000164,EMP00081,FIELD,VND0000009,2025-01-08 07:03:12,AGT0000164
AGT0000165,EMP00619,T3,VND0000015,2024-01-02 20:36:10,AGT0000165
AGT0000166,EMP01079,T2,VND0000012,2025-11-08 13:03:48,AGT0000166
AGT0000167,EMP00506,FIELD,VND0000014,2025-10-27 03:41:36,AGT0000382
