dataset,raw_rows,exact_duplicates,rows_in_duplicate_primary_keys,golden_rows,rows_removed,missing_primary_key
borrowers,30600,600,28151,11015,19585,0
accounts,30000,0,0,30000,0,0
agents,30000,0,30000,1000,29000,0
campaigns,120,0,0,120,0,0
daily_targeting,45000,0,0,45000,0,0
calls,91350,1271,2700,90000,1350,0
call_attempts,120000,0,0,120000,0,0
call_dispositions,35000,0,0,35000,0,0
whatsapp_events,60600,600,1200,60000,600,0
sms_events,45000,0,0,45000,0,0
field_visits,25000,0,0,25000,0,0
promises_to_pay,18000,0,0,18000,0,0
complaints,8000,0,0,8000,0,0
agent_sessions,15000,0,0,15000,0,0
account_status_history,60000,0,0,60000,0,0
payments,25500,486,1000,21203,4297,0
payments_business_key,25014,0,7218,21203,3811,382
vendor_telephony,15,0,0,15,0,0
