month,dpd_band,risk_segment,recommended_channel,targeted_accounts,recovered_accounts,recovered_amount,payment_conversion,recovery_per_targeted_account
2026-01,0-30,HIGH,FIELD,176,10,1128976.22,0.056818181818181816,6414.637613636363
2026-01,0-30,HIGH,SMS,152,2,177575.72999999998,0.013157894736842105,1168.2613815789473
2026-01,0-30,HIGH,VOICE,152,11,725087.16,0.07236842105263158,4770.310263157895
2026-01,0-30,HIGH,WHATSAPP,166,6,310387.70999999996,0.03614457831325301,1869.8054819277106
2026-01,0-30,LOW,FIELD,132,6,634958.64,0.045454545454545456,4810.2927272727275
2026-01,0-30,LOW,SMS,170,8,710960.1799999999,0.047058823529411764,4182.1187058823525
2026-01,0-30,LOW,VOICE,164,7,708090.4199999999,0.042682926829268296,4317.6245121951215
2026-01,0-30,LOW,WHATSAPP,168,9,679968.1799999999,0.05357142857142857,4047.4296428571424
2026-01,0-30,MEDIUM,FIELD,172,9,595649.6799999999,0.05232558139534884,3463.0795348837205
2026-01,0-30,MEDIUM,SMS,155,6,382087.37,0.03870967741935484,2465.079806451613
2026-01,0-30,MEDIUM,VOICE,171,6,493297.58999999997,0.03508771929824561,2884.781228070175
2026-01,0-30,MEDIUM,WHATSAPP,153,7,459267.56999999995,0.0457516339869281,3001.7488235294113
2026-01,0-30,NPA,FIELD,153,6,433902.52,0.0392156862745098,2835.964183006536
2026-01,0-30,NPA,SMS,144,10,1024310.13,0.06944444444444445,7113.2647916666665
2026-01,0-30,NPA,VOICE,174,6,362328.07,0.034482758620689655,2082.3452298850575
2026-01,0-30,NPA,WHATSAPP,172,6,456507.92,0.03488372093023256,2654.115813953488
2026-01,31-60,HIGH,FIELD,73,2,220654.64,0.0273972602739726,3022.666301369863
2026-01,31-60,HIGH,SMS,72,4,198473.38,0.05555555555555555,2756.574722222222
2026-01,31-60,HIGH,VOICE,65,4,298537.55,0.06153846153846154,4592.885384615384
2026-01,31-60,HIGH,WHATSAPP,75,2,188660.47999999998,0.02666666666666667,2515.4730666666665
2026-01,31-60,LOW,FIELD,83,2,184127.7,0.024096385542168676,2218.406024096386
