month,strategy_version,targeted_accounts,recovered_accounts,recovered_amount,payment_conversion,recovery_per_targeted_account
2026-01,legacy,1786,88,6756673.42,0.04927211646136618,3783.131814109742
2026-01,v1,1166,39,3274689.07,0.03344768439108062,2808.4811921097767
2026-01,v2,1256,38,3146127.63,0.030254777070063694,2504.8786863057326
2026-01,v3,1524,68,5216569.17,0.04461942257217848,3422.945649606299
2026-02,legacy,1584,50,3783388.6,0.03156565656565657,2388.5029040404042
2026-02,v1,1037,42,2950262.04,0.040501446480231434,2844.9971456123435
2026-02,v2,1129,40,3577972.29,0.0354295837023915,3169.1517183348096
2026-02,v3,1410,49,3808852.23,0.03475177304964539,2701.3136382978723
2026-03,legacy,1727,72,5875517.44,0.04169079328314997,3402.152541980313
2026-03,v1,1149,48,3483433.07,0.04177545691906005,3031.708503046127
2026-03,v2,1264,50,4407156.75,0.03955696202531646,3486.674643987342
2026-03,v3,1526,56,4421609.9799999995,0.03669724770642202,2897.5163695937085
2026-04,legacy,1714,60,4185547.9,0.03500583430571762,2441.976604434072
2026-04,v1,1139,39,3027329.57,0.03424056189640035,2657.883731343283
2026-04,v2,1287,46,3190712.11,0.035742035742035744,2479.1857886557887
2026-04,v3,1445,49,3739750.64,0.033910034602076124,2588.0627266435986
2026-05,legacy,1774,63,5048406.47,0.03551296505073281,2845.7759131905295
2026-05,v1,1174,42,2823031.33,0.03577512776831346,2404.626345826235
2026-05,v2,1341,48,3810548.7800000003,0.035794183445190156,2841.572542878449
2026-05,v3,1511,53,3814426.0,0.03507610853739246,2524.4381204500332
2026-06,legacy,1736,57,4271254.5,0.032834101382488476,2460.4000576036865
2026-06,v1,1090,26,2288529.98,0.023853211009174313,2099.568788990826
2026-06,v2,1267,45,2999858.53,0.035516969218626675,2367.6862904498817
2026-06,v3,1442,36,2734496.35,0.024965325936199722,1896.3220180305132
2026-07,legacy,1755,63,4828547.84,0.035897435897435895,2751.3093105413104
2026-07,v1,1149,30,2385414.81,0.02610966057441253,2076.079033942559
2026-07,v2,1284,37,2354306.35,0.02881619937694704,1833.5719236760126
2026-07,v3,1478,60,4669921.33,0.04059539918809202,3159.62200947226
2026-08,legacy,493,3,267099.29,0.006085192697768763,541.7835496957404
2026-08,v1,332,5,363412.13,0.015060240963855422,1094.6148493975904
2026-08,v2,344,3,174695.3,0.00872093023255814,507.8351744186046
2026-08,v3,397,1,106950.6,0.0025188916876574307,269.39697732997485
